genre,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,release_date
Anime,Hikaru Utada,Face My Fears - English Version,0CALOqrkXAE7WB2nyIATLk,63,0.0105,0.628,222013,0.751,0.0,C#,0.119,-7.041,Minor,0.0991,159.965,3/4,0.44,2019-01-18
Anime,THE ORAL CIGARETTES,Kyouran Hey Kids!!,38kcwx5znepLWCIBID0Bwm,62,0.00318,0.526,250973,0.981,0.00161,G#,0.187,-1.82,Major,0.111,142.016,4/4,0.781,2016-01-05
Anime,Official HIGE DANdism,ノーダウト,5DMEvbg3gUmiR5HIBWdveV,62,0.0585,0.574,202395,0.936,0.0,D,0.336,-3.185,Major,0.07,149.953,4/4,0.793,
Anime,Ikimonogakari,Blue Bird,2XpV9sHBexcNrz0Gyf3l18,61,0.12,0.536,215707,0.966,0.0,F#,0.0477,-2.93,Minor,0.0557,152.078,4/4,0.85,2006
Anime,Mrs. GREEN APPLE,青と夏,0a3587n25Xhw098UeEbeJq,61,0.00184,0.31,270507,0.887,0.0,E,0.291,-1.654,Major,0.0463,184.91,4/4,0.745,2019-10-01
Anime,UVERworld,Odd Future,0yy8QwH9OOgeF3CBeUDguR,60,0.015,0.694,225907,0.795,0.0,C,0.114,-4.649,Minor,0.0924,128.036,4/4,0.556,2019-12-04
Anime,amazarashi,Sora Ni Utaeba,6wZcefZGc6vrd3zLCQoOYe,60,0.0142,0.594,217627,0.951,1.18e-06,F#,0.0965,-1.339,Minor,0.0696,102.04,4/4,0.641,2017-12-13
Anime,Linked Horizon,Guren no Yumiya,70p3HYq9iHZisJqpDmWd1U,60,0.0232,0.455,310680,0.952,5.65e-05,C#,0.0662,-6.382,Minor,0.0787,90.365,4/4,0.332,2017-05-17
Anime,Sukima Switch,奏(かなで),5RbMlPFL4gVyEHW2lEOuzG,60,0.553,0.519,328627,0.666,0.000169,A#,0.0948,-6.163,Major,0.0262,149.839,4/4,0.461,2004-06-23
Anime,Cö Shu Nie,Asphyxia,49u6NxoLP5S6kfTYLmUfkQ,59,0.0348,0.253,174780,0.932,0.0,F,0.319,-3.346,Major,0.201,112.409,4/4,0.334,2019-12-11
Anime,Porno Graffitti,The Day,1tjOClAkdMxDfYPO0xvGbG,59,0.000761,0.512,241627,0.933,0.0,C#,0.342,-4.759,Minor,0.0738,92.998,4/4,0.465,2017-10-25
Anime,ASIAN KUNG-FU GENERATION,Haruka Kanata,052C0m9kD30nZqcPWPPRqm,59,2.46e-05,0.316,243347,0.951,0.189,C#,0.17,-3.757,Minor,0.112,174.895,4/4,0.255,2012-01-18
Anime,Linked Horizon,Shinzo wo Sasageyo! - TV Size,27iksNpaur1CcH0w8703by,59,0.246,0.435,90000,0.953,0.0,C,0.123,-5.327,Major,0.0423,79.959,4/4,0.612,2017-04-02
Anime,Linked Horizon,Shoukei to Shikabane no Michi [TV Size],0q8WLWTRdN7XcNCoZIxCu9,59,0.226,0.408,90090,0.943,0.0,C,0.352,-4.579,Minor,0.0913,178.076,4/4,0.807,
Anime,Kenshi Yonezu,Lemon,35KlorpQ6LQVVslvlcu1gN,59,0.366,0.533,256107,0.661,0.0,B,0.354,-4.924,Major,0.0268,86.978,4/4,0.446,2020-08-05
Anime,Motohiro Hata,鱗(うろこ),4IubwxgmXeZtDtYjTaT9gN,59,0.074,0.442,324053,0.748,0.0,F#,0.1,-5.448,Major,0.0302,89.956,4/4,0.493,2007-09-26
Anime,LiSA,Crossing Field,3mScGCzxiXA9OaHdBeuk7O,58,0.0157,0.447,248947,0.983,0.0,F,0.276,-2.281,Major,0.268,179.072,4/4,0.317,2013-10-30
Blues,Lynyrd Skynyrd,Sweet Home Alabama,7e89621JPkKaeDSTQ3avtg,80,0.181,0.596,283800,0.605,0.000331,G,0.0863,-12.145,Major,0.0255,97.798,4/4,0.886,1974-04-15
Blues,The Who,Baba O'Riley,3qiyyUfYe7CRYLucrPmulD,75,0.287,0.494,300000,0.722,0.186,F,0.283,-8.373,Major,0.0347,117.312,4/4,0.156,1971-08-14
Blues,Jimi Hendrix,All Along the Watchtower,2aoo2jlRnM3A0NyLQqMN2f,74,0.00255,0.438,240800,0.805,5.69e-05,G#,0.0842,-6.237,Major,0.0624,113.253,4/4,0.564,1968-10-25
Blues,Steve Miller Band,The Joker,1bp2IO61zbQrbWNmKKxg3f,74,0.394,0.424,264504,0.446,3.78e-06,F,0.16,-9.618,Major,0.0525,165.158,4/4,0.794,1973-01-01
Blues,Thin Lizzy,The Boys Are Back In Town,43DeSV93pJPT4lCZaWZ6b1,73,0.234,0.445,266720,0.706,0.000252,G#,0.205,-9.803,Major,0.0461,80.823,4/4,0.768,1976
Blues,The Doobie Brothers,Listen to the Music,7Ar4G7Ci11gpt6sfH9Cgz5,73,0.221,0.645,227267,0.598,3.53e-06,C#,0.0721,-13.18,Minor,0.0335,105.929,4/4,0.913,1972
Blues,The White Stripes,Seven Nation Army,7i6r9KotUPQg3ozKKgEPIN,72,0.00817,0.737,231733,0.463,0.447,C,0.255,-7.828,Major,0.0792,123.881,4/4,0.324,2003-04-01
Blues,Cage The Elephant,Ain't No Rest for the Wicked,3Pzh926pXggbMe2ZpXyMV7,72,0.0438,0.634,175493,0.849,0.0,C,0.363,-7.075,Major,0.105,156.004,4/4,0.919,2008-01-01
Blues,Blue Öyster Cult,(Don't Fear) The Reaper,5QTxFnGygVM4jFQiBovmRo,72,0.0029,0.333,308120,0.927,0.000211,A,0.297,-8.55,Minor,0.0733,141.47,4/4,0.382,1976
Blues,Al Green,Let's Stay Together,63xdwScd1Ai1GigAwQxE8y,72,0.57,0.756,199396,0.397,0.0115,G,0.0542,-10.701,Minor,0.0522,101.985,4/4,0.507,1972
Blues,Derek & The Dominos,Layla - 40th Anniversary Version / 2010 Remastered,2kkvB3RNRzwjFdGhaUA0tz,72,0.584,0.394,423840,0.918,0.332,C#,0.309,-3.743,Major,0.0709,115.646,4/4,0.479,1970-11-01
Blues,Buffalo Springfield,For What It's Worth,1qRA5BS78u3gME0loMl9AA,72,0.406,0.653,153693,0.519,0.0209,D,0.101,-10.164,Major,0.0497,98.883,4/4,0.822,1966-12-05
Blues,Aretha Franklin,I Say a Little Prayer,3NfxSdJnVdon1axzloJgba,72,0.48,0.59,216773,0.355,0.0,A,0.0585,-14.051,Major,0.0352,133.03,4/4,0.499,1968-06-14
Blues,Leon Bridges,River,0NeJjNlprGfZpeX2LQuN6c,71,0.689,0.658,238560,0.179,0.0,G#,0.17,-10.866,Major,0.0448,128.128,4/4,0.191,2015-06-23
Blues,ZZ Top,La Grange - 2005 Remaster,70YvYr2hGlS01bKRIho1HM,71,0.00249,0.545,230480,0.64,0.0304,E,0.196,-9.937,Minor,0.224,80.544,4/4,0.606,1973-07-26
Blues,Cream,Sunshine Of Your Love,6FRwDxXsvSasw0y2eDArsz,71,0.475,0.684,250000,0.481,6.57e-05,D,0.118,-12.59,Major,0.0384,115.078,4/4,0.784,1967-11
Blues,Etta James,At Last,4Hhv2vrOTy89HFRcjU3QOx,70,0.707,0.171,182400,0.33,0.00381,F,0.302,-9.699,Major,0.0329,174.431,3/4,0.315,1960
Blues,ZZ Top,Sharp Dressed Man - 2008 Remaster,1UBQ5GK8JaQjm5VbkBZY66,70,0.000359,0.601,258027,0.859,0.00124,F,0.0871,-5.263,Major,0.0276,125.145,4/4,0.446,1983-03-23
Blues,Chuck Berry,Johnny B. Goode,2QfiRTz5Yc8DdShCxG1tB2,70,0.741,0.534,161560,0.803,6.07e-05,A#,0.307,-9.129,Major,0.0743,167.983,4/4,0.969,1959-07-01
Blues,Eric Clapton,"Tears in Heaven - Acoustic; Live at MTV Unplugged, Bray Film Studios, Windsor, England, UK, 1/16/1992; 2013 Remaster",612VcBshQcy4mpB2utGc3H,70,0.8,0.695,280000,0.336,0.00264,A,0.701,-12.999,Major,0.0313,79.109,4/4,0.422,
Children's Music,Tom's Music Box,Lullaby and Good Night,30y8W512Sf3RbhVDHF38vY,51,0.596,0.917,64322,0.185,0.859,D,0.129,-10.079,Major,0.12,94.029,3/4,0.775,2015-05-25
Children's Music,Toddler Tunes,Itsy Bitsy Spider,749a3IktgztaKcRg3zmQvv,47,0.302,0.901,137454,0.526,0.0,C#,0.054,-7.296,Minor,0.0362,109.946,4/4,0.706,2016-03-01
Children's Music,Spongebob Squarepants,The Best Day Ever,3L3dVggx061Wx5y4d2L0mQ,47,0.202,0.565,182173,0.758,0.0,B,0.0552,-5.205,Major,0.0294,127.817,4/4,0.605,2004-11-09
Children's Music,Toddler Tunes,"Head, Shoulders, Knees and Toes",4izXmYE9U6clkv5uAyVEN7,47,0.249,0.867,83291,0.729,0.0,C#,0.0802,-6.616,Major,0.0373,120.129,4/4,0.793,2016-03-01
Children's Music,Blippi,The Excavator Song,3X6fJLY0KvjLQSDHTLwvDn,46,0.528,0.737,175187,0.549,8.71e-05,A,0.299,-13.215,Major,0.0382,124.98,4/4,0.84,2016-02-18
Children's Music,The Beat Bugs,Lucy In The Sky With Diamonds,4On5fc0VFSsmXGe9x7BftT,45,0.188,0.299,224947,0.53,0.0,D,0.24,-5.193,Major,0.0278,98.134,4/4,0.342,2016-11-04
Children's Music,Juice Music,"Don’t Worry, Be Happy",7xvBI5cS5tLWmVYOArJOgl,45,0.517,0.874,205733,0.144,0.0,B,0.0554,-15.74,Major,0.251,67.5,4/4,0.882,
Children's Music,Pinkfong,Baby Shark Music Box,07enmUOMmpuy7ZVUXHAPIk,44,0.688,0.686,110523,0.121,0.885,G,0.0793,-20.751,Major,0.103,148.002,4/4,0.818,2017-12-13
Children's Music,Blippi,The Garbage Truck Song,4lHquNr5hai7TZmmHmmj9d,44,0.317,0.695,184907,0.428,0.000432,E,0.0764,-13.493,Major,0.0373,129.865,4/4,0.958
Children's Music,Toddler Tunes,"Twinkle, Twinkle, Little Star",4T5TiGxt0guWTp7Ufmec6u,44,0.864,0.525,45911,0.18,5.47e-06,G#,0.129,-10.779,Major,0.0488,74.757,4/4,0.426,2016-03-01
Children's Music,Blippi,The Train Song,3uhWhjIOhuL2sNbN0dy8lS,43,0.506,0.684,209427,0.407,1.74e-05,E,0.331,-12.893,Major,0.0445,139.811,4/4,0.662,2016-02-18
Children's Music,Blippi,The Monster Truck Song,1wotQ8cxTkOMqWjMIFINGw,43,0.0572,0.709,168360,0.451,0.0,D,0.392,-12.4,Major,0.0344,110.001,4/4,0.876,2016-02-18
Children's Music,Music Together,Shady Grove,7xYMZh8mu1i6DvAF1oty2M,43,0.949,0.517,167680,0.166,0.058,G,0.102,-18.582,Major,0.0355,145.299,4/4,0.458,2009-10-01
Children's Music,Blippi,The Fire Truck Song,77LZ4NrNRjP9yhMVXN0mp0,43,0.501,0.452,177227,0.434,0.0,D,0.224,-15.39,Major,0.0516,74.764,4/4,0.861,2016-02-18
Children's Music,The Backyardigans,Super Heroes vs. Super Villains,6F51eo0gcUW6ciYMvsbgZb,43,0.736,0.819,94613,0.493,4.84e-06,F,0.0644,-5.928,Major,0.0904,101.226,4/4,0.881,2006-07-11
Children's Music,Toddler Tunes,Mary Had a Little Lamb,4bYXigPIj8cZ11Nmu4iVEU,43,0.261,0.859,159000,0.439,0.0,F,0.103,-7.152,Major,0.0351,80.006,4/4,0.961,2016-03-01
Children's Music,Old Town School of Folk Music,If All Of The Raindrops,0PursvcXaOfKR79VxOOSDV,42,0.679,0.73,74933,0.335,0.0,D,0.26,-8.2,Major,0.0802,147.794,4/4,0.73,2004-05-11
Children's Music,Blippi,The Police Car Song,4EzK1Fz1WokLMU3SzvicY1,42,0.342,0.679,172040,0.388,0.0,A,0.559,-16.556,Major,0.0597,144.937,4/4,0.868,2016-02-18
Children's Music,Blippi,The Boat Song,5qnoUbxwE4rjz8Y7pH1j4B,41,0.73,0.609,206107,0.486,0.00192,E,0.111,-13.448,Major,0.0357,145.968,4/4,0.789,2016-02-18
Children's Music,Blippi,The Airplane Song,6qBDXAIxumtwgXW7ryNZ1b,41,0.532,0.746,166867,0.478,4.57e-06,C,0.112,-11.996,Major,0.0329,125.072,4/4,0.632,2016-02-18
Children’s Music,YUNGBLUD,11 Minutes (with Halsey feat. Travis Barker),4mGdjNMo0RonTlOEb7cYg4,86,0.0116,0.464,239507,0.852,0.0,B,0.108,-3.804,Major,0.067,160.075,4/4,0.233,2019-02-14
Children’s Music,ChocQuibTown,Pa Olvidarte (feat. Manuel Turizo) - Remix,2ktoFujjJtantyMoVdBJlX,85,0.0441,0.724,256418,0.791,6.55e-06,G,0.239,-5.411,Major,0.169,176.011,4/4,0.856,2019-02-01
Children’s Music,Joji,SLOW DANCING IN THE DARK,0rKtyWc8bvkriBthvHKY8d,84,0.544,0.515,209274,0.479,0.00598,D#,0.191,-7.458,Major,0.0261,88.964,4/4,0.284,2018-10-26
Children’s Music,H.E.R.,Best Part (feat. Daniel Caesar),4OBZT9EnhYIV17t4pGw7ig,84,0.795,0.473,209400,0.371,0.0,E,0.109,-10.219,Minor,0.0405,75.208,4/4,0.413,2017-08-25
Children’s Music,Linkin Park,In The End,60a0Rd6pjrkxjPbaKzXjfq,84,0.0103,0.542,216933,0.853,0.0,D#,0.108,-6.407,Minor,0.0498,105.256,4/4,0.37,2000-10-24
Children’s Music,Foster The People,Pumped Up Kicks,7w87IxuO7BDcJ3YUqCyMTT,83,0.145,0.733,239600,0.71,0.115,F,0.0956,-5.849,Minor,0.0292,127.975,4/4,0.965,2011-05-23
Children’s Music,6LACK,Pretty Little Fears (feat. J. Cole),4at3d5QWnlibMVN75ECDrp,82,0.711,0.611,240342,0.466,0.000264,A,0.0847,-11.361,Major,0.372,192.08,4/4,0.223,2018-09-14
Children’s Music,Red Hot Chili Peppers,Under The Bridge,3d9DChrdc6BOeFsbrZ3Is0,82,0.0576,0.559,264307,0.345,0.000105,E,0.141,-13.496,Major,0.0459,84.581,4/4,0.458,1991-09-24
Children’s Music,Linkin Park,Numb,2nLtzopw4rPReszdYBJU6h,82,0.0046,0.496,185587,0.863,0.0,A,0.639,-4.153,Major,0.0381,110.018,4/4,0.243,2003-03-25
Children’s Music,Red Hot Chili Peppers,Californication,48UPSzbZjgc449aqz8bxox,82,0.0021,0.592,329733,0.767,0.00165,A,0.127,-2.788,Minor,0.027,96.483,4/4,0.328,1999-06-08
Children’s Music,R.E.M.,Losing My Religion,31AOj9sFz2gM0O3hMARRBx,82,0.163,0.671,268427,0.849,0.0,A,0.0937,-5.03,Minor,0.0284,125.613,4/4,0.829,1991-03-12
Children’s Music,Joji,YEAH RIGHT,1VGzxJnVQND7Cg5H5wGj14,81,0.619,0.672,174358,0.588,0.241,C#,0.0992,-9.573,Major,0.133,169.033,4/4,0.204,2018-10-26
Children’s Music,Smash Mouth,All Star,3cfOd4CMv2snFaKAnMdnvK,81,0.0319,0.731,200373,0.861,0.0,B,0.0829,-5.881,Major,0.0323,104.034,4/4,0.78,1999-06-08
Children’s Music,Red Hot Chili Peppers,Can't Stop,3ZOEytgrvLwQaqXreDs2Jx,81,0.0179,0.618,269000,0.938,0.0,A,0.167,-3.442,Major,0.0456,91.455,4/4,0.875,2002-07-09
Children’s Music,Radiohead,Creep,6b2oQwSGFkzsMtQruIWm2p,81,0.0102,0.515,238640,0.43,0.000141,G,0.129,-9.935,Major,0.0369,91.841,4/4,0.104,1993-02-22
Children’s Music,Gorillaz,Feel Good Inc,0d28khcov6AiegSCpG5TuT,80,0.00836,0.818,222640,0.705,0.00233,F#,0.613,-6.679,Major,0.177,138.559,4/4,0.772,2005-05-23
Children’s Music,Summer Walker,Girls Need Love (with Drake) - Remix,0mfCH4nfpshBQR9ueZP5eP,80,0.443,0.656,222374,0.432,0.0,F#,0.132,-9.481,Minor,0.217,97.022,4/4,0.0897,2018-10-19
Children’s Music,System Of A Down,Chop Suey!,2DlHlPMa4M17kufBvI2lEN,80,0.000278,0.419,210240,0.934,0.0015,G,0.132,-3.908,Minor,0.12,127.288,4/4,0.286,2001-09-04
Children’s Music,WALK THE MOON,Shut Up and Dance,4kbj5MwxO1bq9wjT5g9HaA,80,0.00701,0.578,199080,0.866,0.0,C#,0.257,-3.804,Major,0.0619,128.038,4/4,0.619,2014-12-02
Children’s Music,Red Hot Chili Peppers,Snow (Hey Oh),2aibwv5hGXSgw7Yru8IYTO,80,0.127,0.432,335067,0.895,1.16e-05,B,0.141,-3.682,Major,0.0504,104.458,4/4,0.625,2006-05-09
Classical,Harold Budd,Olancha Farewell,4KyJQKAFvEH4F52qSMuwIF,69,0.992,0.196,138427,0.00687,0.917,G,0.106,-34.255,Major,0.0442,72.125,4/4,0.053,1986
